Temperature,Minimum Humidity,Maximum Humidity, Minimum Soil Moisture,Maximum Soil Moisture,Minimum pH Level,Maximum pH Level,Disease/Pest
17,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
18,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
19,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
20,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
21,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
22,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
23,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
24,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
25,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
26,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
27,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
28,0.8,1,0.89,0.93,4.6,6.45,Rice Blast Disease
26,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
27,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
28,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
29,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
30,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae
30,0.5,0.7,0.25,0.42,4,6.5,Spikelet degeneration
33,0.5,0.7,0.25,0.42,4,6.5,Spikelet degeneration
25,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
26,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
27,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
28,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
29,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
30,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
31,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
32,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
33,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
34,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight
40,0.5,0.7,0.45,0.54,6.2,7.2,Grain discoloration
28,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
29,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
30,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
31,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
32,0.85,1,0.65,0.8,5.4,7.3,Sheath blight
30,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
31,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
32,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
33,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
34,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
35,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB)
25,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
26,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
27,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
28,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
29,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
30,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
31,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
32,0.95,0.95,0.25,0.4,6.02,6.72,False Smut
16,0.86,1,0.69,0.9,5,6.2,Brown Spot
17,0.86,1,0.69,0.9,5,6.2,Brown Spot
18,0.86,1,0.69,0.9,5,6.2,Brown Spot
19,0.86,1,0.69,0.9,5,6.2,Brown Spot
20,0.86,1,0.69,0.9,5,6.2,Brown Spot
21,0.86,1,0.69,0.9,5,6.2,Brown Spot
22,0.86,1,0.69,0.9,5,6.2,Brown Spot
23,0.86,1,0.69,0.9,5,6.2,Brown Spot
24,0.86,1,0.69,0.9,5,6.2,Brown Spot
25,0.86,1,0.69,0.9,5,6.2,Brown Spot
26,0.86,1,0.69,0.9,5,6.2,Brown Spot
27,0.86,1,0.69,0.9,5,6.2,Brown Spot
28,0.86,1,0.69,0.9,5,6.2,Brown Spot
29,0.86,1,0.69,0.9,5,6.2,Brown Spot
30,0.86,1,0.69,0.9,5,6.2,Brown Spot
31,0.86,1,0.69,0.9,5,6.2,Brown Spot
32,0.86,1,0.69,0.9,5,6.2,Brown Spot
33,0.86,1,0.69,0.9,5,6.2,Brown Spot
34,0.86,1,0.69,0.9,5,6.2,Brown Spot
35,0.86,1,0.69,0.9,5,6.2,Brown Spot
36,0.86,1,0.69,0.9,5,6.2,Brown Spot
30,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
31,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
32,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
33,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
34,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
35,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
36,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
10,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
11,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
12,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
13,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
14,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
15,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
16,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
28,0.9,0.9,0.78,0.92,6.4,7,Tungro
29,0.9,0.9,0.78,0.92,6.4,7,Tungro
30,0.9,0.9,0.78,0.92,6.4,7,Tungro
31,0.9,0.9,0.78,0.92,6.4,7,Tungro
32,0.9,0.9,0.78,0.92,6.4,7,Tungro
28,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
29,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
30,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
31,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
32,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
30,0.85,0.85,0.68,0.73,5,6.5,Stem Rot
31,0.85,0.85,0.68,0.73,5,6.5,Stem Rot
32,0.85,0.85,0.68,0.73,5,6.5,Stem Rot
13,0.85,1,0.88,0.95,7.5,8.5,Cold Injury
14,0.85,1,0.88,0.95,7.5,8.5,Cold Injury
15,0.85,1,0.88,0.95,7.5,8.5,Cold Injury
16,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
17,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
18,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
19,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
20,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
21,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
22,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
23,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
24,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
25,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
26,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
27,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
28,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
29,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
30,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
31,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
32,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
27,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
28,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
29,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
30,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
31,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
32,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
33,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
34,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
35,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
30,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
31,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
32,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
33,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
34,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
35,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
36,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
37,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
38,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
20,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
21,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
22,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
23,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
24,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
25,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
26,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
27,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
28,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
29,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
30,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
24,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
25,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
26,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
27,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
28,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
29,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
30,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
31,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
32,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
33,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
34,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
20,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
21,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
22,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
23,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
24,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
25,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
26,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
27,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
28,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
29,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
